Date,OG/CV,Product,Size,Volume?,Price,Location,Concat,Date2,volume_num,volume_unit,volume_standard,VendorClean,ProductClean
1/15/2025,0,Yellow Bell Pepper 25lb,XL,6P,$30.50 ,Texas,45672Yellow Bell Pepper 25lbXL,192.0,6,pallet,pallet,"Sweet Seasons, LLC.",Yellow Bell Peppers XXXL
1/15/2025,1,Yellow Bell Pepper 25lb,CH,3P,$28.95 ,Nogales,45672Yellow Bell Pepper 25lbCH,192.0,3,pallet,pallet,Bridges,Yellow Bell Peppers XXXL
1/15/2025,1,Yellow Bell Pepper 11lb,XL,3P,$20.95 ,Nogales,45672Yellow Bell Pepper 11lbXL,192.0,3,pallet,pallet,Bridges,Yellow Bell Peppers XXXL
1/15/2025,0,Yellow Bell Pepper 11lb,XL,3P,$22.00 ,Texas,45672Yellow Bell Pepper 11lbXL,192.0,3,pallet,pallet,"Sweet Seasons, LLC.",Yellow Bell Peppers XXXL
1/15/2025,1,Yellow Bell Pepper 11lb,Lg,3P,$18.95 ,Nogales,45672Yellow Bell Pepper 11lbLg,192.0,3,pallet,pallet,Bridges,Yellow Bell Peppers XXXL
1/15/2025,0,Tomatillo,35#,5p,$10.50 ,Texas,45672Tomatillo35#,192.0,5,pallet,pallet,"Sweet Seasons, LLC.",TOMATILLO
1/15/2025,0,Slicer Cucumber,SS,10P,$14.95 ,Nogales,45672Slicer CucumberSS,192.0,10,pallet,pallet,TRICAR,Slicer Cucumber
1/15/2025,0,Slicer Cucumber,Selecto,7P,$10.95 ,Nogales,45672Slicer CucumberSelecto,192.0,7,pallet,pallet,TRICAR,Slicer Cucumber
1/15/2025,0,Slicer Cucumber,Plain,8P,$6.95 ,Nogales,45672Slicer CucumberPlain,192.0,8,pallet,pallet,TRICAR,Slicer Cucumber
1/15/2025,0,Slicer Cucumber,Lg,10P,$12.95 ,Nogales,45672Slicer CucumberLg,192.0,10,pallet,pallet,TRICAR,Slicer Cucumber
1/15/2025,0,Slicer Cucumber,Lg,11p,$12.95 ,Texas,45672Slicer CucumberLg,192.0,11,pallet,pallet,MexFresh,Slicer Cucumber
1/15/2025,1,Slicer Cucumber,36's,17P,$10.00 ,Nogales,45672Slicer Cucumber36's,192.0,17,pallet,pallet,Giumarra,Slicer Cucumber
1/15/2025,0,Roma Tomato,XL,15p,$11.00 ,Nogales,45672Roma TomatoXL,192.0,15,pallet,pallet,Kaliroy,Roma Tomato- XL
1/15/2025,0,Roma Tomato,Rounds 8x3 lb,5p,$8.00 ,Nogales,45672Roma TomatoRounds 8x3 lb,192.0,5,pallet,pallet,Kaliroy,Roma Tomato- XL
1/15/2025,0,Roma Tomato,Jbo,15p,$11.00 ,Nogales,45672Roma TomatoJbo,192.0,15,pallet,pallet,Kaliroy,Roma Tomato- XL
1/15/2025,1,Red Bell Pepper 11lb,XL,10P,$20.95 ,Nogales,45672Red Bell Pepper 11lbXL,192.0,10,pallet,pallet,Bridges,Red Bell Pepper 11lb
1/15/2025,0,Red Bell Pepper 11lb,XL,3P,$17.50 ,Texas,45672Red Bell Pepper 11lbXL,192.0,3,pallet,pallet,"Sweet Seasons, LLC.",Red Bell Pepper 11lb
1/15/2025,1,Red Bell Pepper 11lb,Lg,10P,$18.95 ,Nogales,45672Red Bell Pepper 11lbLg,192.0,10,pallet,pallet,Bridges,Red Bell Pepper 11lb
1/15/2025,1,Orangel Bell Pepper 25lb,CH,3P,$28.95 ,Nogales,45672Orangel Bell Pepper 25lbCH,192.0,3,pallet,pallet,Bridges,Orange Bell Peppers XXLG
1/15/2025,1,Orange Bell Pepper 11lb,XL,3P,$20.95 ,Nogales,45672Orange Bell Pepper 11lbXL,192.0,3,pallet,pallet,Bridges,Orange Bell Peppers XXLG
1/15/2025,0,Orange Bell Pepper 11lb,XL,5p,$22.00 ,Texas,45672Orange Bell Pepper 11lbXL,192.0,5,pallet,pallet,"Sweet Seasons, LLC.",Orange Bell Peppers XXLG
1/15/2025,1,Orange Bell Pepper 11lb,Med,3P,$16.95 ,Nogales,45672Orange Bell Pepper 11lbMed,192.0,3,pallet,pallet,Bridges,Orange Bell Peppers XXLG
1/15/2025,1,Orange Bell Pepper 11lb,Lg,3P,$18.95 ,Nogales,45672Orange Bell Pepper 11lbLg,192.0,3,pallet,pallet,Bridges,Orange Bell Peppers XXLG
1/15/2025,0,Jalapeño,35#,10P,$9.95 ,Texas,45672Jalapeño35#,192.0,10,pallet,pallet,"Sweet Seasons, LLC.",Jalapeño
1/15/2025,1,Heirloom,10 lb,13P,$7.95 ,Nogales,45672Heirloom10 lb,192.0,13,pallet,pallet,Trufresh,Heirloom
1/15/2025,0,Green Bell Pepper,XL,5p,$10.95 ,Nogales,45672Green Bell PepperXL,192.0,5,pallet,pallet,Ipr,Green Bell Pepper
1/15/2025,1,Green Bell Pepper,XL,5p,$18.95 ,Nogales,45672Green Bell PepperXL,192.0,5,pallet,pallet,Ipr,Green Bell Pepper
1/15/2025,0,Green Bell Pepper,Med,5p,$8.95 ,Nogales,45672Green Bell PepperMed,192.0,5,pallet,pallet,Ipr,Green Bell Pepper
1/15/2025,0,Green Bell Pepper,Lg,5p,$10.95 ,Nogales,45672Green Bell PepperLg,192.0,5,pallet,pallet,Ipr,Green Bell Pepper
1/15/2025,1,Green Bell Pepper,Lg,5p,$16.95 ,Nogales,45672Green Bell PepperLg,192.0,5,pallet,pallet,Ipr,Green Bell Pepper
1/15/2025,0,Green Bell Pepper,CH,5p,$7.95 ,Nogales,45672Green Bell PepperCH,192.0,5,pallet,pallet,Ipr,Green Bell Pepper
1/15/2025,0,Grape Tomato,Bulk,20P,$10.20 ,Nogales,45672Grape TomatoBulk,192.0,20,pallet,pallet,Kaliroy,Grape Tomato
1/15/2025,0,Eggplant,24ct,12p,$9.95 ,Texas,45672Eggplant24ct,192.0,12,pallet,pallet,Lakeway,Eggplant
1/15/2025,0,Cherry Tomato,12X1,10P,$6.95 ,Nogales,45672Cherry Tomato12X1,192.0,10,pallet,pallet,Santa Sweets,Cherry Tomatoes
1/16/2025,0,Zucchini Squash,WB,6P,$18.00 ,Nogales,45673Zucchini SquashWB,191.0,6,pallet,pallet,Seeded,Zucchini Squash
1/16/2025,0,Zucchini Squash,Fancy,1p,$18.95 ,Nogales,45673Zucchini SquashFancy,191.0,1,pallet,pallet,Vegfresh,Zucchini Squash
1/16/2025,0,Zucchini Squash,Fancy,3p #2,$16.95 ,Nogales,45673Zucchini SquashFancy,191.0,3,pallet,pallet,Malena,Zucchini Squash
1/16/2025,0,Zucchini Squash,Fancy,3p #2,$16.95 ,Nogales,45673Zucchini SquashFancy,191.0,3,pallet,pallet,Malena,Zucchini Squash
