Date,,OG/CV,Product,Size,Volume?,Price,Where,Concat,Date2,,,,,
1/15/2025,Sweet Seasons,CV,Yellow Bell Pepper 25lb,XL,6P,$30.50 ,Texas,45672Yellow Bell Pepper 25lbXL,192,,,,,
1/15/2025,Bridges,OG,Yellow Bell Pepper 25lb,CH,3P,$28.95 ,Nogales,45672Yellow Bell Pepper 25lbCH,192,,,,,
1/15/2025,Bridges,OG,Yellow Bell Pepper 11lb,XL,3P,$20.95 ,Nogales,45672Yellow Bell Pepper 11lbXL,192,,,,,
1/15/2025,Sweet Seasons,CV,Yellow Bell Pepper 11lb,XL,3P,$22.00 ,Texas,45672Yellow Bell Pepper 11lbXL,192,,,,,
1/15/2025,Bridges,OG,Yellow Bell Pepper 11lb,Lg,3P,$18.95 ,Nogales,45672Yellow Bell Pepper 11lbLg,192,,,,,
1/15/2025,sweet seasons,CV,Tomatillo,35#,5p,$10.50 ,Texas,45672Tomatillo35#,192,,,,,
1/15/2025,Tricar,CV,Slicer Cucumber,SS,10P,$14.95 ,Nogales,45672Slicer CucumberSS,192,,,,,
1/15/2025,Tricar,CV,Slicer Cucumber,Selecto,7P,$10.95 ,Nogales,45672Slicer CucumberSelecto,192,,,,,
1/15/2025,Tricar,CV,Slicer Cucumber,Plain,8P,$6.95 ,Nogales,45672Slicer CucumberPlain,192,,,,,
1/15/2025,Tricar,CV,Slicer Cucumber,Lg,10P,$12.95 ,Nogales,45672Slicer CucumberLg,192,,,,,
1/15/2025,MexFresh,CV,Slicer Cucumber,Lg,11p,$12.95 ,Texas,45672Slicer CucumberLg,192,,,,,
1/15/2025,Giumarra,OG,Slicer Cucumber,42's,Load,$9.00 ,Nogales,45672Slicer Cucumber42's,192,,,,,
1/15/2025,Giumarra,OG,Slicer Cucumber,36's,17P,$10.00 ,Nogales,45672Slicer Cucumber36's,192,,,,,
1/15/2025,Grey,OG,Slicer Cucumber,30's,Load,$9.00 ,Nogales,45672Slicer Cucumber30's,192,,,,,
1/15/2025,Kaliroy,CV,Roma Tomato,XL,15p,$11.00 ,Nogales,45672Roma TomatoXL,192,,,,,
1/15/2025,Kaliroy,CV,Roma Tomato,Rounds 8x3 lb,5p,$8.00 ,Nogales,45672Roma TomatoRounds 8x3 lb,192,,,,,
1/15/2025,Kaliroy,CV,Roma Tomato,Jbo,15p,$11.00 ,Nogales,45672Roma TomatoJbo,192,,,,,
1/15/2025,Bridges,OG,Red Bell Pepper 11lb,XL,10P,$20.95 ,Nogales,45672Red Bell Pepper 11lbXL,192,,,,,
1/15/2025,Sweet Seasons,CV,Red Bell Pepper 11lb,XL,3P,$17.50 ,Texas,45672Red Bell Pepper 11lbXL,192,,,,,
1/15/2025,Bridges,OG,Red Bell Pepper 11lb,Lg,10P,$18.95 ,Nogales,45672Red Bell Pepper 11lbLg,192,,,,,
