Date,Product,ProductClean,VendorFinal,OG/CV,Location,volume_unit
1/15/2025,Yellow Bell Pepper 25lb,Yellow Bell Peppers XXXL,"Sweet Seasons, LLC.",0.0,Texas,pallet
1/15/2025,Yellow Bell Pepper 25lb,Yellow Bell Peppers XXXL,Bridges,1.0,Nogales,pallet
1/15/2025,Yellow Bell Pepper 11lb,Yellow Bell Peppers XXXL,Bridges,1.0,Nogales,pallet
1/15/2025,Yellow Bell Pepper 11lb,Yellow Bell Peppers XXXL,"Sweet Seasons, LLC.",0.0,Texas,pallet
1/15/2025,Yellow Bell Pepper 11lb,Yellow Bell Peppers XXXL,Bridges,1.0,Nogales,pallet
1/15/2025,Tomatillo,TOMATILLO,"Sweet Seasons, LLC.",0.0,Texas,pallet
1/15/2025,Slicer Cucumber,Slicer Cucumber,TRICAR,0.0,Nogales,pallet
1/15/2025,Slicer Cucumber,Slicer Cucumber,TRICAR,0.0,Nogales,pallet
1/15/2025,Slicer Cucumber,Slicer Cucumber,TRICAR,0.0,Nogales,pallet
1/15/2025,Slicer Cucumber,Slicer Cucumber,TRICAR,0.0,Nogales,pallet
1/15/2025,Slicer Cucumber,Slicer Cucumber,MexFresh,0.0,Texas,pallet
1/15/2025,Slicer Cucumber,Slicer Cucumber,Giumarra,1.0,Nogales,
1/15/2025,Slicer Cucumber,Slicer Cucumber,Giumarra,1.0,Nogales,pallet
1/15/2025,Slicer Cucumber,Slicer Cucumber,Grey,1.0,Nogales,
1/15/2025,Roma Tomato,Roma Tomato- XL,Kaliroy,0.0,Nogales,pallet
1/15/2025,Roma Tomato,Roma Tomato- XL,Kaliroy,0.0,Nogales,pallet
1/15/2025,Roma Tomato,Roma Tomato- XL,Kaliroy,0.0,Nogales,pallet
1/15/2025,Red Bell Pepper 11lb,Red Bell Pepper 11lb,Bridges,1.0,Nogales,pallet
1/15/2025,Red Bell Pepper 11lb,Red Bell Pepper 11lb,"Sweet Seasons, LLC.",0.0,Texas,pallet
1/15/2025,Red Bell Pepper 11lb,Red Bell Pepper 11lb,Bridges,1.0,Nogales,pallet
1/15/2025,Orangel Bell Pepper 25lb,Orange Bell Peppers XXLG,Bridges,1.0,Nogales,pallet
1/15/2025,Orange Bell Pepper 11lb,Orange Bell Peppers XXLG,Bridges,1.0,Nogales,pallet
1/15/2025,Orange Bell Pepper 11lb,Orange Bell Peppers XXLG,"Sweet Seasons, LLC.",0.0,Texas,pallet
1/15/2025,Orange Bell Pepper 11lb,Orange Bell Peppers XXLG,Bridges,1.0,Nogales,pallet
1/15/2025,Orange Bell Pepper 11lb,Orange Bell Peppers XXLG,Bridges,1.0,Nogales,pallet
1/15/2025,Jalapeño,Jalapeño,"Sweet Seasons, LLC.",0.0,Texas,pallet
1/15/2025,Heirloom,Heirloom,Trufresh,1.0,Nogales,pallet
1/15/2025,Green Bell Pepper,Green Bell Pepper,Ipr,0.0,Nogales,pallet
1/15/2025,Green Bell Pepper,Green Bell Pepper,Ipr,1.0,Nogales,pallet
1/15/2025,Green Bell Pepper,Green Bell Pepper,Ipr,0.0,Nogales,pallet
1/15/2025,Green Bell Pepper,Green Bell Pepper,Ipr,0.0,Nogales,pallet
1/15/2025,Green Bell Pepper,Green Bell Pepper,Ipr,1.0,Nogales,pallet
1/15/2025,Green Bell Pepper,Green Bell Pepper,Ipr,0.0,Nogales,pallet
1/15/2025,Grape Tomato,Grape Tomato,Kaliroy,0.0,Nogales,pallet
1/15/2025,Eggplant,Eggplant,Lakeway,0.0,Texas,pallet
1/15/2025,Cherry Tomato,Cherry Tomatoes,Santa Sweets,0.0,Nogales,pallet
1/16/2025,Zucchini Squash,Zucchini Squash,Seeded,0.0,Nogales,pallet
1/16/2025,Zucchini Squash,Zucchini Squash,Vegfresh,0.0,Nogales,pallet
1/16/2025,Zucchini Squash,Zucchini Squash,Malena,0.0,Nogales,pallet
1/16/2025,Zucchini Squash,Zucchini Squash,Malena,0.0,Nogales,pallet
1/16/2025,Yellow Squash,Yellow Squash,Malena,0.0,Nogales,pallet
1/16/2025,Yellow Squash,Yellow Squash,Lakeway,0.0,Nogales,pallet
1/16/2025,Yellow Bell Pepper 11lb,Yellow Bell Peppers XXXL,Fresh Farms,0.0,Nogales,pallet
