VendorClean,VendorMaster_best,score
"Sweet Seasons, LLC.","Sweet Seasons, LLC.",0.8125
Bridges,"Bridges Produce, Inc.",0.6363636363636364
TRICAR,Tricar Sales Inc.,0.6666666666666666
MexFresh,VFRESH LLC,0.7142857142857143
Giumarra,"Garland, LLC.",0.5333333333333333
Grey,"Gemco, Inc.",0.4444444444444444
Kaliroy,"Kaliroy Fresh, LLC.",0.7
Trufresh,Trufresh,1.0
Ipr,IPR Fresh,0.5
Lakeway,"Lakeway Foods, LLC.",0.7
Santa Sweets,Santa Sweets,1.0
Seeded,"Seeded Produce, LLC.",0.6
Vegfresh,VFRESH LLC,0.8571428571428571
Malena,"Malena Produce, Inc.",0.6
Fresh Farms,Fresh Farms,1.0
Doozland,"Garland, LLC.",0.5333333333333333
Huron,Huron Produce,0.5555555555555556
Agriferg,Agriferg Produce LLC,0.6666666666666666
HM ,"HM Produce, LLC.",0.46153846153846156
Kingdom,Kingdom Fresh Farms,0.5384615384615384
Franks,Frank Donio Inc.,0.5882352941176471
Red Sun,Red Sun Farms,0.7
Agrivera,Rich River,0.5555555555555556
ASL PRODUCE,ASL PRODUCE,1.0
Divine,"Divine Flavor, LLC.",0.631578947368421
"Produce Team, LLC.","Produce Team, LLC.",0.8
"Grower Alliance, LLC","Grower Alliance, LLC",0.8571428571428571
Peakopia LLC,Peakopia LLC,0.8
Mexfresh,VFRESH LLC,0.7142857142857143
"Produce House, LLC.","Produce House, LLC.",0.8125
Natural Flavor,"Natural Flavor Produce, LLC.",0.7777777777777778
Amore,"Amore Produce, LLC.",0.5555555555555556
Harvest Best LLC,Harvest Best LLC,0.8571428571428571
Veg Fresh,VFRESH LLC,0.8
Terra Bella,"Terra Bella Farms, LLC.",0.7857142857142857
Wholesum / Grower Alliance,"Grower Alliance, LLC",0.7317073170731707
Wholesum,"Wholesum Family Farms, Inc.",0.5517241379310345
MAS MELONS,Mas Melons,1.0
VILLAGE FARMS,VILLAGE FARMS LP,0.896551724137931
Topline,Total,0.5
Freshtex,VFRESH LLC,0.7142857142857143
Stesan,"Stesan Produce, LLC.",0.6
Splendid,"Splendid By Porvenir, LLC.,",0.5714285714285714
EarthBlend LLC,EarthBlend LLC,0.8333333333333334
Farmers Best,Harvest Best LLC,0.75
Prime Sales,Tricar Sales Inc.,0.6956521739130435
ASL,Total,0.5
Farmers,VFRESH LLC,0.6153846153846154
Windset,Windset Farms,0.7
Chula,C. H. Rivas LLC.,0.42857142857142855
Terrabella,"Terra Bella Farms, LLC.",0.7407407407407407
"Amore Produce, LLC.","Amore Produce, LLC.",0.8125
Verafruit,FRUTTO LLC,0.5333333333333333
Delta,DACABET LLC,0.5
Farm2U,ART MX LLC,0.5
SL,Mas Melons,0.3333333333333333
Franks ,Frank Donio Inc.,0.6666666666666666
Rich River,Rich River,1.0
FARMERS ,VFRESH LLC,0.5714285714285714
Wholesum ,"Wholesum Family Farms, Inc.",0.6
ASL (tomorrow),ASL PRODUCE,0.48
Mex Fresh,"Idea Fresh, LLC.",0.7368421052631579
Wholesum (Tomorrow),"Wholesum Family Farms, Inc.",0.55
Fresh Tex,"Fresh Direct, Inc.",0.6666666666666666
Star Produce,"Stesan Produce, LLC.",0.8461538461538461
HM,"HM Produce, LLC.",0.3333333333333333
IPR Fresh,IPR Fresh,1.0
sl,Mas Melons,0.3333333333333333
bridges,"Bridges Produce, Inc.",0.6363636363636364
Agros,"Agros Produce, LLC.",0.5555555555555556
Cesar Osuna,Tricar Sales Inc.,0.5217391304347826
Marabella ,"Terra Bella Farms, LLC.",0.5925925925925926
Covilli,"Covilli Brand Organics, Inc.",0.4827586206896552
Tabafresh,Trufresh,0.7058823529411765
Cardela,"Garland, LLC.",0.5714285714285714
Nature Sweet,"NatureSweet, Ltd.",0.9565217391304348
Covili,"Covilli Brand Organics, Inc.",0.42857142857142855
TPE,"PTC Produce, LLC.",0.42857142857142855
Del Campo,"Del Campo Produce, Inc",0.6923076923076923
Farmers best,Harvest Best LLC,0.75
Bellflower,"Frello Fresh, LLC",0.45454545454545453
Travelers,Tricar Sales Inc.,0.5714285714285714
Delta Fresh,"Idea Fresh, LLC.",0.8571428571428571
Tom Lange,"Tom Lange Company, Inc",0.6923076923076923
Harvest Master LLC,Harvest Best LLC,0.6666666666666666
Baloian,"Garland, LLC.",0.5714285714285714
Blue Creek,Mr. Lucky,0.4444444444444444
Red Sun ,Red Sun Farms,0.7619047619047619
iDeal HarBest,"Idea Fresh, LLC.",0.6956521739130435
DElta,DACABET LLC,0.5
Globalmex,Globalmex International Inc.,0.5625
Global Mex,Globalmex International Inc.,0.5454545454545454
Del campo,"Del Campo Produce, Inc",0.6923076923076923
Greenpoint,"GreenPoint Distributing, LLC.",0.6060606060606061
LM,"Gemco, Inc.",0.2857142857142857
Terra Bella ,"Terra Bella Farms, LLC.",0.8275862068965517
SunFed,SunFed,1.0
Flavor Choice LLC,Flavor Choice LLC,0.8666666666666667
Terrabella ,"Terra Bella Farms, LLC.",0.7857142857142857
Next level,"Next Level Produce, Inc.",0.7142857142857143
LM Companies,"Novalux Company, Inc.",0.5925925925925926
Crown Jewels,Crown Jewels Produce,0.75
IPR,IPR Fresh,0.5
"Terra Bella Farms, LLC.","Terra Bella Farms, LLC.",0.85
MASTERS TOUCH,Masters Touch,1.0
Chucho,"Chucho Produce, LLC.",0.6
VP,Vipep Foods,0.3076923076923077
Wholesum/Terrabella,"Terra Bella Farms, LLC.",0.5555555555555556
Huron ,Huron Produce,0.631578947368421
Produce Connection,"Produce House, LLC.",0.6451612903225806
Green Point,"GreenPoint Distributing, LLC.",0.5882352941176471
FRUTTO FOODS,FRUTTO LLC,0.6666666666666666
Traveler,Tricar Sales Inc.,0.5
Nature Sweets,"NatureSweet, Ltd.",0.9166666666666666
Red sun,Red Sun Farms,0.7
Cardela ,"Garland, LLC.",0.5333333333333333
SL ,"SL Produce, LLC.",0.46153846153846156
Cache,"Cache Produce, LLC.",0.5555555555555556
Terra bella,"Terra Bella Farms, LLC.",0.7857142857142857
Bebo,"Gemco, Inc.",0.4444444444444444
